ENTIDAD,ENTIDAD_DEPARTAMENTO,ENTIDAD_PROVINCIA,ENTIDAD_DISTRITO,OBJETOCONTRACTUAL,SECTOR,TIPOENTIDADOEE,ITEM_DEPARTAMENTO,ITEM_PROVINCIA,ITEM_DISTRITO,MONTOADJUDICADOSOLES,CANTIDADADJUDICADA,TIPOPROVEEDOR,PROVEEDOR,DETALLEPROVEEDOR,RUBROS
'MUNICIPALIDAD PROVINCIAL DE SANDIA',PUNO,SANDIA,SANDIA,Bien,'GOBIERNO LOCAL','GOBIERNO LOCAL',PUNO,SANDIA,SANDIA,177480,12240,'Persona Juridica','GRIFO BRISAS DE SAN JUAN EMPRESA INDIVIDUAL DE RESPONSABILIDAD LIMITADA',?,'OTROS BIENES'
'POLICÍA NACIONAL DEL PERÚ - III REGIÓN TERRITORIAL TRUJILLO','LA LIBERTAD',TRUJILLO,TRUJILLO,Bien,INTERIOR,'GOBIERNO NACIONAL',ANCASH,HUARAZ,HUARAZ,105093,4535,'Persona Juridica','CORPORACION ALME E.I.R.L.',?,'PROD. ASEO Y LIMPIEZA'
'POLICÍA NACIONAL DEL PERÚ - III REGIÓN TERRITORIAL TRUJILLO','LA LIBERTAD',TRUJILLO,TRUJILLO,Bien,INTERIOR,'GOBIERNO NACIONAL','LA LIBERTAD',TRUJILLO,TRUJILLO,114835,4802,'Persona Juridica','CORPORACION ALME E.I.R.L.',?,'PROD. ASEO Y LIMPIEZA'
'AUTORIDAD NACIONAL DEL AGUA',LIMA,LIMA,'SAN ISIDRO',Bien,AGRICULTURA,'GOBIERNO NACIONAL',TACNA,TACNA,TACNA,356454.93,24515.47,'Persona Juridica','ESTACION DE SERVICIOS TEXA&#39;S SOCIEDAD ANONIMA CERRADA',?,'OTROS BIENES'
'GOBIERNO REGIONAL CAJAMARCA SALUD SAN IGNACIO',CAJAMARCA,'SAN IGNACIO','SAN IGNACIO',Bien,'GOBIERNO REGIONAL','GOBIERNO REGIONAL',CAJAMARCA,'SAN IGNACIO','SAN IGNACIO',100000,10000,'Persona Juridica','CH & S MEDILAB SOCIEDAD ANONIMA CERRADA - CH & S MEDILAB S.A.C.',?,'MATERIAL Y EQUIPO MEDICO'
'POLICÍA NACIONAL DEL PERÚ - XI DIRECCIÓN TERRITORIAL AREQUIPA',AREQUIPA,AREQUIPA,YANAHUARA,Bien,INTERIOR,'GOBIERNO NACIONAL',AREQUIPA,AREQUIPA,YANAHUARA,503622,143892,'Persona Natural','BUITRON GUEVARA JENNIFER JANET',?,'MATERIAL Y EQUIPO MEDICO'
'POLICÍA NACIONAL DEL PERÚ - XI DIRECCIÓN TERRITORIAL AREQUIPA',AREQUIPA,AREQUIPA,YANAHUARA,Bien,INTERIOR,'GOBIERNO NACIONAL',AREQUIPA,AREQUIPA,YANAHUARA,231255,10278,'Persona Juridica','QUIMICA KAZVEL SOCIEDAD ANONIMA CERRADA - QUIMICA KAZVEL S.A.C.',?,'PROD. ASEO Y LIMPIEZA'
'POLICÍA NACIONAL DEL PERÚ - XI DIRECCIÓN TERRITORIAL AREQUIPA',AREQUIPA,AREQUIPA,YANAHUARA,Bien,INTERIOR,'GOBIERNO NACIONAL',AREQUIPA,AREQUIPA,YANAHUARA,65059.74,10278,'Persona Natural','CORNEJO PORTUGAL SUE LEONOR',?,'PROD. ASEO Y LIMPIEZA'
'POLICIA NACIONAL DEL PERÚ - DIRECCIÓN DE ECONOMÍA Y FINANZAS',LIMA,LIMA,RIMAC,Bien,INTERIOR,'GOBIERNO NACIONAL',LIMA,LIMA,RIMAC,1553000,1,'Persona Natural','BUITRON GUEVARA JENNIFER JANET',?,'PROD. ASEO Y LIMPIEZA'
'POLICIA NACIONAL DEL PERÚ - DIRECCIÓN DE ECONOMÍA Y FINANZAS',LIMA,LIMA,RIMAC,Bien,INTERIOR,'GOBIERNO NACIONAL',LIMA,LIMA,RIMAC,619990,1,'Persona Juridica','D\'JAVA NEGOCIOS E.I.R.L.',?,'PROD. ASEO Y LIMPIEZA'
'POLICIA NACIONAL DEL PERÚ - DIRECCIÓN DE ECONOMÍA Y FINANZAS',LIMA,LIMA,RIMAC,Bien,INTERIOR,'GOBIERNO NACIONAL',LIMA,LIMA,RIMAC,2749200,1,'Persona Juridica','NIEVA TRADING S.R.L.',?,'PROD. ASEO Y LIMPIEZA'
'GOBIERNO REGIONAL DE AREQUIPA - PROYECTO ESPECIAL MAJES-SIGUAS  AUTODEMA',AREQUIPA,AREQUIPA,CAYMA,Servicio,'GOBIERNO REGIONAL','GOBIERNO REGIONAL',AREQUIPA,AREQUIPA,CAYMA,1251018.36,1,'Persona Juridica','GRUPO CONSTRUCTOR HAZ Y HNOS LA S.R.L.',?,'OTROS SERVICIOS'
'EJERCITO PERUANO',LIMA,LIMA,'SAN BORJA',Bien,DEFENSA,'GOBIERNO NACIONAL',TUMBES,TUMBES,TUMBES,293400,5,'Persona Juridica','DISTRIBUIDORA FINA SRL',?,ALIMENTOS
'GOBIERNO REGIONAL DE ICA - U.E. 404 HOSPITAL SAN JUAN DE DIOS PISCO',ICA,PISCO,PISCO,Servicio,'GOBIERNO REGIONAL','GOBIERNO REGIONAL',ICA,PISCO,PISCO,188983.7,1,'Persona Juridica','GRUPO ELITE DEL NORTE S.R.L.',?,'OTROS SERVICIOS'
'POLICÍA NACIONAL DEL PERÚ - DIRECCIÓN EJECUTIVA ANTIDROGAS',LIMA,LIMA,'LA VICTORIA',Bien,INTERIOR,'GOBIERNO NACIONAL',LIMA,LIMA,'LA VICTORIA',77575,3103,'Persona Juridica','BOZOVICH Y ASOCIADOS SAFETY S.A.C.',?,'PROD. ASEO Y LIMPIEZA'
'EJERCITO PERUANO',LIMA,LIMA,'SAN BORJA',Bien,DEFENSA,'GOBIERNO NACIONAL',TUMBES,TUMBES,TUMBES,110400,5,'Persona Juridica','DISTRIBUIDORA FINA SRL',?,ALIMENTOS
'POLICÍA NACIONAL DEL PERÚ - DIRECCIÓN EJECUTIVA ANTIDROGAS',LIMA,LIMA,'LA VICTORIA',Bien,INTERIOR,'GOBIERNO NACIONAL',LIMA,LIMA,'LA VICTORIA',147888,4029,'Persona Juridica','IMPLEMENTOS Y REACTIVOS E.I.R.L.',?,'MATERIAL Y EQUIPO MEDICO'
'GOBIERNO REGIONAL DE SAN MARTIN-SALUD','SAN MARTIN',MOYOBAMBA,MOYOBAMBA,Bien,'GOBIERNO REGIONAL','GOBIERNO REGIONAL','SAN MARTIN',MOYOBAMBA,MOYOBAMBA,38750,3100,'Persona Juridica','DISTRIBUIDORA GABY E I R LTDA',?,'OTROS BIENES'
'GOBIERNO REGIONAL DE SAN MARTIN-SALUD','SAN MARTIN',MOYOBAMBA,MOYOBAMBA,Bien,'GOBIERNO REGIONAL','GOBIERNO REGIONAL','SAN MARTIN',MOYOBAMBA,MOYOBAMBA,60325,4750,'Persona Juridica','DISTRIBUIDORA GABY E I R LTDA',?,'OTROS BIENES'
'EJERCITO PERUANO',LIMA,LIMA,'SAN BORJA',Bien,DEFENSA,'GOBIERNO NACIONAL',UCAYALI,'CORONEL PORTILLO',CALLERIA,140700,5,'Persona Juridica','MULTISERVICIOS JANIS E.I.R.L.',?,ALIMENTOS
'EJERCITO PERUANO',LIMA,LIMA,'SAN BORJA',Bien,DEFENSA,'GOBIERNO NACIONAL',LORETO,'MARISCAL RAMON CASTILLA','RAMON CASTILLA',62100,5,'Persona Juridica','NEGOCIACIONES COMERCIALES DEL ORIENTE E.I.R.L.',?,ALIMENTOS
